tweet,created_at
RT @kemendespdt: Wamendes PDT Ahmad Riza Patria menegaskan pentingnya keterlibatan kampus dalam percepatan pembangunan desa. Hal ini disamp…,2025-01-14 17:38:31+00:00
RT @kemendespdt: Wamendes PDT Ahmad Riza Patria menegaskan pentingnya keterlibatan kampus dalam percepatan pembangunan desa. Hal ini disamp…,2025-01-14 17:05:40+00:00
RT @kemendespdt: Wamendes PDT Ahmad Riza Patria menegaskan pentingnya keterlibatan kampus dalam percepatan pembangunan desa. Hal ini disamp…,2025-01-14 15:12:15+00:00
RT @kemendespdt: Wamendes PDT Ahmad Riza Patria menegaskan pentingnya keterlibatan kampus dalam percepatan pembangunan desa. Hal ini disamp…,2025-01-14 14:43:19+00:00
"Dilantik sebagai Deputi Kemenko PMK, Rektor UT Siap Dukung Indonesia Emas https://t.co/UxbgavBOrN",2025-01-14 14:28:25+00:00
RT @kemendespdt: Wamendes PDT Ahmad Riza Patria menegaskan pentingnya keterlibatan kampus dalam percepatan pembangunan desa. Hal ini disamp…,2025-01-14 11:45:26+00:00
RT @kemendespdt: Wamendes PDT Ahmad Riza Patria menegaskan pentingnya keterlibatan kampus dalam percepatan pembangunan desa. Hal ini disamp…,2025-01-14 11:03:43+00:00
RT @kemendespdt: Wamendes PDT Ahmad Riza Patria menegaskan pentingnya keterlibatan kampus dalam percepatan pembangunan desa. Hal ini disamp…,2025-01-14 10:24:11+00:00
RT @kemendespdt: Wamendes PDT Ahmad Riza Patria menegaskan pentingnya keterlibatan kampus dalam percepatan pembangunan desa. Hal ini disamp…,2025-01-14 10:20:51+00:00
RT @kemendespdt: Wamendes PDT Ahmad Riza Patria menegaskan pentingnya keterlibatan kampus dalam percepatan pembangunan desa. Hal ini disamp…,2025-01-14 09:50:44+00:00
RT @PakMenteriAHY_: Menko AHY meresmikan Gedung baru Fakultas Ilmu Administrasi (FIA) Universitas Indonesia (UI) berkonsep 'green building'…,2025-01-14 08:18:29+00:00
RT @kemendespdt: Wamendes PDT Ahmad Riza Patria menegaskan pentingnya keterlibatan kampus dalam percepatan pembangunan desa. Hal ini disamp…,2025-01-14 08:15:18+00:00
"Menko AHY meresmikan Gedung baru Fakultas Ilmu Administrasi (FIA) Universitas Indonesia (UI) berkonsep 'green building' dengan panel surya dan 'smart classes', bersama Menteri PU Pak Dody Hanggodo, Wamen PU Bu Diana Kusumastuti, Rektor UI Prof. Heri Hermansyah dan jajaran. https://t.co/wEYDkiSyz4",2025-01-14 07:52:29+00:00
RT @kemendespdt: Wamendes PDT Ahmad Riza Patria menegaskan pentingnya keterlibatan kampus dalam percepatan pembangunan desa. Hal ini disamp…,2025-01-14 07:46:54+00:00
RT @kemendespdt: Wamendes PDT Ahmad Riza Patria menegaskan pentingnya keterlibatan kampus dalam percepatan pembangunan desa. Hal ini disamp…,2025-01-14 07:25:15+00:00
RT @kemendespdt: Wamendes PDT Ahmad Riza Patria menegaskan pentingnya keterlibatan kampus dalam percepatan pembangunan desa. Hal ini disamp…,2025-01-14 07:00:31+00:00
RT @kemendespdt: Wamendes PDT Ahmad Riza Patria menegaskan pentingnya keterlibatan kampus dalam percepatan pembangunan desa. Hal ini disamp…,2025-01-14 06:35:46+00:00
"Wamendes PDT Ahmad Riza Patria menegaskan pentingnya keterlibatan kampus dalam percepatan pembangunan desa. Hal ini disampaikan dalam pertemuannya dengan Rektor Universitas Indonesia, Heri Hermansyah, di Gedung Rektorat UI, Depok, pada 13 Januari 2025 . https://t.co/UDN0fmxtP5",2025-01-14 06:04:46+00:00
@ccccaacaca @univ_indonesia KASIH PAHAM CA HARUSNYA LU YG JD REKTOR,2025-01-14 02:38:33+00:00
RT @AgusYudhoyono: Meresmikan Gedung baru Fakultas Ilmu Administrasi (FIA) @univ_indonesia (UI) berkonsep 'green building' dengan panel sur…,2025-01-13 23:02:34+00:00
